a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alacritty 0.13.1-1
alsa-card-profiles 1:1.0.3-1
alsa-lib 1.2.11-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
amd-ucode 20240220.97b693d2-1
ansible 9.3.0-1
ansible-core 2.16.4-1
aom 3.8.1-1
appstream 1.0.2-1
appstream-qt 1.0.2-1
appstream-qt5 1.0.2-1
apr 1.7.4-1
apr-util 1.6.3-1
arch-install-scripts 28-1
archlinux-keyring 20240208-1
argon2 20190702-5
aribb24 1.0.3-3
ark 24.02.0-1
arpack 3.9.1-2
asciidoc 10.2.0-4
asymptote 2.87-1
at-spi2-core 2.50.1-1
atkmm 2.28.4-1
attica 6.0.0-1
attica5 5.115.0-1
attr 2.5.2-1
audit 4.0-1
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
babl 0.1.108-1
baloo 6.0.0-3
baloo-widgets 24.02.0-1
base 3-2
base-devel 1-1
bash 5.2.026-2
bash-completion 2.11-3
bcc 0.29.1-1
bcg729 1.1.1-1
binutils 2.42-2
bison 3.8.2-6
blas 3.12.0-3
bluez-libs 5.72-2
boost-libs 1.83.0-5
botan 3.3.0-1
botan2 2.19.3-1
box2d 2.4.1-2
bpftrace 0.20.1-1
breeze 6.0.1-3
breeze-icons 6.0.0-1
breezy 3.3.5-1
bridge-utils 1.7.1-2
brotli 1.1.0-1
btrfs-progs 6.7.1-1
bzip2 1.0.8-5
c-ares 1.27.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.98-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
capstone 5.0.1-2
cblas 3.12.0-3
cdparanoia 10.2-9
cfitsio 1:4.4.0-1
cifs-utils 7.0-3
clang 16.0.6-2
clazy 1.11-4
clucene 2.3.3.4-14
cmake 3.28.3-1
cmark 0.31.0-2
compiler-rt 16.0.6-3
convertlit 1.8-11
coreutils 9.4-3
cppdap 1.58.0-1
criu 3.18-2
crun 1.14.4-1
cryptsetup 2.7.0-3
ctags 1:6.1.0-1
cups 1:2.4.7-2
cups-filters 2.0.0-1
curl 8.6.0-3
dav1d 1.4.0-1
db 6.2.32-1
db5.3 5.3.28-4
dblatex 0.3.12-8
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dbus-glib 0.112-3
dconf 0.40.0-2
ddcutil 2.1.4-1
debugedit 5.0-5
debuginfod 0.191-1
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-3
devtools 1:1.1.1-1
diffutils 3.10-1
discord 0.0.44-1
discount 3.0.0.d-1
djvulibre 3.5.28-5
dmidecode 3.5-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dolphin 24.02.0-1
dos2unix 7.5.2-1
dosfstools 4.2-3
double-conversion 3.3.0-1
doxygen 1.10.0-2
duktape 2.7.0-6
e2fsprogs 1.47.0-1
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.6-1
efibootmgr 18-2
efivar 39-1
egl-wayland 2:1.1.13-1
eglexternalplatform 1.1-2
elfutils 0.191-1
emacs 29.2-1
enchant 2.6.5-1
enet 1.3.17-1
exiv2 0.28.2-1
expat 2.6.1-1
faad2 2.11.1-1
fakeroot 1.34-1
ffmpeg 2:6.1.1-6
ffmpeg4.4 4.4.4-4
fftw 3.3.10-6
file 5.45-1
filesystem 2024.01.19-1
findutils 4.9.0-3
firefox 123.0.1-1
flac 1.4.3-1
flex 2.6.4-5
fmt 10.2.0-1
fontconfig 2:2.15.0-2
frameworkintegration 6.0.0-1
frameworkintegration5 5.115.0-1
freeglut 3.4.0-1
freetype2 2.13.2-1
frei0r-plugins 2.3.2-2
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse3 3.16.2-1
gavl 1.4.0-7
gawk 5.3.0-1
gc 8.2.6-1
gcc 13.2.1-5
gcc-libs 13.2.1-5
gd 2.3.3-7
gdb 14.2-1
gdb-common 14.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gegl 0.4.48-1
geoclue 2.7.1-2
gettext 0.22.4-1
ghc-libs 9.2.8-1
ghostscript 10.02.1-1
giflib 5.2.2-1
gimp 2.10.36-5
git 2.44.0-1
gl2ps 1.4.2-3
glew 2.2.0-6
glib-networking 1:2.78.1-1
glib2 2.78.4-1
glibc 2.39-1
glibmm 2.66.6-1
glpk 5.0-2
glslang 14.0.0-2
glu 9.0.3-1
gmp 6.3.0-1
gnupg 2.4.4-1
gnuplot 6.0.0-1
gnutls 3.8.3-1
go 2:1.22.1-1
gobject-introspection-runtime 1.78.1-1
gopls 0.15.1-1
gperftools 2.15-1
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.10-1
gradle 8.6-1
graphene 1.10.8-1
graphicsmagick 1.3.42-3
graphite 1:1.3.14-3
grep 3.11-1
groff 1.23.0-5
grub 2:2.12-1
grub-theme-vimix 20190605-2
gsettings-desktop-schemas 45.0-1
gsfonts 20200910-3
gsl 2.7.1-3
gsm 1.0.22-1
gspell 1.12.2-2
gssdp 1.6.3-1
gst-plugins-bad-libs 1.22.10-1
gst-plugins-base 1.22.10-1
gst-plugins-base-libs 1.22.10-1
gstreamer 1.22.10-1
gtk-update-icon-cache 1:4.12.5-1
gtk2 2.24.33-3
gtk3 1:3.24.41-1
gtk4 1:4.12.5-1
gtkmm3 3.24.8-1
gtksourceview4 4.8.4-1
guile 3.0.9-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gutenprint 5.3.4-3
gwenview 24.02.0-3
gzip 1.13-2
harfbuzz 8.3.0-2
harfbuzz-icu 8.3.0-2
haskell-basement 0.0.16-2
haskell-cryptonite 0.30-71
haskell-memory 0.18.0-6
hdf5-openmpi 1.14.3-2
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.1.0-1
htop 3.3.0-1
hunspell 1.7.2-1
hwdata 0.380-1
hwloc 2.10.0-1
hyphen 2.8.8-5
i2c-tools 4.3-4
iana-etc 20231228-1
icu 74.2-1
ijs 0.35-6
imagemagick 7.1.1.29-2
imath 3.1.11-1
imlib2 1.12.2-2
inetutils 2.5-1
iniparser 4.1-5
inkscape 1.3.2-3
iproute2 6.7.0-1
iptables-nft 1:1.8.10-1
iputils 20240117-1
iso-codes 4.16.0-1
